"estimate","se","ci_lower","ci_upper","true_beta","scenario"
2.18040809089968,0.229022016914451,1.74430584188724,2.60006417787101,2,18
2.3798478048306,0.266517626130274,1.86792643976305,2.87435468095454,2,18
2.2360112418415,0.226197692454922,1.82102682141983,2.68001350322861,2,18
2.06533849684367,0.240484160531756,1.63330141488098,2.48430477299453,2,18
2.21290328060965,0.29971202062613,1.65399679922665,2.82218698440206,2,18
2.05462697560534,0.260211017030139,1.54259740275974,2.63969497176918,2,18
2.24273357248068,0.252154108003168,1.78279369995936,2.72221342172082,2,18
2.51186475379407,0.252104301548074,2.03694188333007,3.04810800268466,2,18
2.03182465441516,0.238805831858179,1.55224599845259,2.49891554521285,2,18
2.10343441625664,0.234379796967179,1.6670157352257,2.58070820728968,2,18
1.88858041089069,0.205227594442561,1.46581827220291,2.27058138161673,2,18
1.92967906270612,0.305987120471723,1.29198098843452,2.63800655021493,2,18
2.26043710133292,0.295415656300623,1.73987983893503,2.84739665214056,2,18
1.98426424919832,0.23053330936355,1.5286984766029,2.3845881782914,2,18
2.18118955534761,0.205762345994563,1.77259864255782,2.62814699910659,2,18
2.03210885819594,0.3272482954922,1.38942477480375,2.62514254558388,2,18
1.82098925357428,0.197705311091845,1.43573765003278,2.2202159764257,2,18
2.02961711274122,0.258203122501639,1.52798362185988,2.49320157138388,2,18
2.33143171658363,0.229798071108999,1.92356442214023,2.84167384686606,2,18
1.33652384669232,0.325341906877159,0.576101412140008,2.00868662993942,2,18
1.95520619988277,0.290737403088242,1.35594183387225,2.48858107623098,2,18
2.50589467168469,0.223213562597323,2.09217220045626,2.92800563651264,2,18
2.07344947589683,0.222249814499586,1.65857145096137,2.51951652980391,2,18
1.75221581495973,0.366728223298728,0.998553633422871,2.38597844066224,2,18
1.94390763366946,0.347362681789128,1.28383367973472,2.59006547403375,2,18
2.0063172041866,0.278251532449156,1.49190245488554,2.52309206114931,2,18
1.83016239454752,0.31420465081803,1.23353050465673,2.40742060643542,2,18
1.85720701787425,0.257400911869142,1.31114995684198,2.31423101439321,2,18
2.1626494061397,0.236636091468369,1.73491867475889,2.60485225302373,2,18
2.06533871250646,0.242958875385104,1.5985967974398,2.58247247465593,2,18
2.73532070254665,0.412168460148267,1.99385239218702,3.6629432621831,2,18
1.90594472858441,0.242577432343658,1.46224716571224,2.42987551632961,2,18
1.70305379209831,0.243846942337575,1.19135814393162,2.16082172581592,2,18
1.85168277761745,0.20694631891363,1.43884725498877,2.23965639173482,2,18
2.04859038882897,0.37988793353137,1.24803206984034,2.83719942166596,2,18
1.98967338873202,0.268625346672392,1.47279805398603,2.55306376594256,2,18
2.03712499257773,0.323028495319858,1.38829820179857,2.6378546586218,2,18
1.82465804860104,0.286604788669758,1.26987706835807,2.41670285234648,2,18
1.61659559285793,0.235227449261224,1.13394874547533,2.08014358948671,2,18
2.00448668333942,0.230601529851557,1.58050801517366,2.42493482506703,2,18
2.15770964653094,0.259670539853407,1.54928301050294,2.63479815081173,2,18
2.1707262287626,0.239384299685561,1.74540883732259,2.61462864235272,2,18
1.45148436122959,0.372312461438943,0.70400425683021,2.0869806657418,2,18
1.61500881604566,0.197760331047702,1.25106587311981,2.00077273909523,2,18
